product_id,last_inserted_date,shop_id,product_name,product_image,currency,status,product_category_id,product_flag,product_cb_option,product_current_status,product_price,product_price_before_discount,product_discount,tier_variations,tier_variations_type,tier_variations_count,product_type,is_on_flash_sale,shopee_verified,product_stock,product_avg_rating,total_rating_count,rating_count_details,rating_count_with_context,rating_count_with_image,product_url,first_live_date,last_live_date,number_of_live_days,times_sold_out,max_product_price,min_product_price,max_product_discount,min_product_discount,days_on_flash_sale,all_time_sold,last_7_days_sold,all_time_like,last_7_days_like,all_time_view,last_7_days_view,all_time_comment,last_7_days_comment,all_time_rating,last_7_days_rating,last_updated_date
1622955655,2021-09-24,65589552,"[Mã ELSAMSEP giảm 5% đơn 500K] Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268500994,0,normal,17,20,15,,,1,0,0,0,44,4.9,1503,"1503, 12, 6, 11, 73, 1401",714,483,https://shopee.vn/[Mã-ELSAMSEP-giảm-5%-đơn-500K]-Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-08-16,2021-09-24,39,0,1990000,999000,50,0,0,3889,16,6048,-13,34977,9616,1503,7,1503,7,2021-09-25
1641696189,2021-09-23,65589552,"[Mã ELSAMSEP giảm 5% đơn 500K] Lò Vi Sóng Tráng Men Có Nướng Samsung MG23K3515AS/SV(23 lít)",b7b34c93ad4ac03b131442063b91e6b8,VND,1,100010,268500994,0,normal,22,30,27,,,1,0,0,0,10,4.9,345,"345, 4, 3, 7, 12, 319",163,119,https://shopee.vn/[Mã-ELSAMSEP-giảm-5%-đơn-500K]-Lò-Vi-Sóng-Tráng-Men-Có-Nướng-Samsung-MG23K3515AS/SV(23-lít)-i.65589552.1641696189,2021-08-16,2021-09-23,23,0,2999000,1990000,34,0,0,796,0,1071,0,12539,0,345,0,345,0,2021-09-25
2103555064,2021-09-24,65589552,"[Mã ELSAMSEP giảm 5% đơn 500K] Máy Hút Bụi Samsung VC18M3110VB/SV (2 lít)",abcb5bfaebb8c75733c2a8260fdc1dfb,VND,1,100010,268500994,0,normal,16,23,31,,,1,0,0,0,12,4.9,518,"518, 1, 0, 5, 16, 496",245,168,https://shopee.vn/[Mã-ELSAMSEP-giảm-5%-đơn-500K]-Máy-Hút-Bụi-Samsung-VC18M3110VB/SV-(2-lít)-i.65589552.2103555064,2021-08-19,2021-09-24,27,0,2290000,1390000,39,0,0,1145,0,821,1,5763,574,519,0,518,0,2021-09-25
2110972003,2021-09-24,65589552,"[Mã ELSAMSEP giảm 5% đơn 500K] Lò vi sóng Samsung MS23K3513AS 23L 800W",3ba5e055946818a63e5faf9f940745bc,VND,1,100010,269025282,0,normal,15,30,50,,,1,0,0,0,31,4.9,1861,"1861, 14, 6, 19, 58, 1764",822,599,https://shopee.vn/[Mã-ELSAMSEP-giảm-5%-đơn-500K]-Lò-vi-sóng-Samsung-MS23K3513AS-23L-800W-i.65589552.2110972003,2021-08-16,2021-09-24,40,0,3000000,1490000,50,0,0,4687,2,3319,40,34468,3116,1862,1,1862,1,2021-09-25
2111835161,2021-09-24,65589552,"[Mã ELSAMHOT giảm 5% đơn 3TR] Màn hình cong Samsung LC27F397FHEXXV 27inch - Hàng chính hãng",a03c109935636ece60edc2d09f935b59,VND,1,100644,269025282,0,normal,50,57,12,,,1,0,0,0,4,4.8,164,"164, 4, 1, 1, 5, 153",73,59,https://shopee.vn/[Mã-ELSAMHOT-giảm-5%-đơn-3TR]-Màn-hình-cong-Samsung-LC27F397FHEXXV-27inch---Hàng-chính-hãng-i.65589552.2111835161,2021-08-16,2021-09-24,40,0,4990000,4020000,29,12,0,353,1,1125,11,15382,1731,164,1,164,1,2021-09-25
2121052372,2021-09-24,53452181,"Máy Lọc Không Khí Xiaomi Mi Air Purifier Pro",911778718c3e3ac6c5b04e10e3e49e45,VND,1,100010,268959744,0,normal,49,0,0,,,1,0,0,0,1,4.7,139,"139, 7, 0, 3, 5, 124",60,45,https://shopee.vn/Máy-Lọc-Không-Khí-Xiaomi-Mi-Air-Purifier-Pro-i.53452181.2121052372,2021-08-16,2021-09-24,34,0,4890000,3590000,27,0,0,386,0,649,-2,3249,505,139,0,139,0,2021-09-25
2632230916,2021-09-24,65589552,"[Mã ELSAMHOT giảm 5% đơn 3TR] Điện thoại Samsung Galaxy Note 10+ 256GB",e0e8898d08434f4f9b685481e1583646,VND,1,100013,269025282,0,normal,160,270,41,"Aura Glow, Aura Black","Màu sắc",2,0,0,0,957,4.9,161,"161, 2, 1, 3, 4, 151",79,63,https://shopee.vn/[Mã-ELSAMHOT-giảm-5%-đơn-3TR]-Điện-thoại-Samsung-Galaxy-Note-10+-256GB-i.65589552.2632230916,2021-08-16,2021-09-24,40,0,26990000,13450000,50,0,1,448,51,1076,81,105227,16400,161,19,161,19,2021-09-25
2662648731,2021-09-24,65589552,"[Mã ELSAMSEP giảm 5% đơn 500K] Lò vi sóng có nướng Samsung MG23K3575AS/SV 23 lít",1d39f35792d58671283f0da66546a6d5,VND,1,100010,269025282,0,normal,25,33,23,,,1,0,0,0,1,4.9,418,"418, 4, 3, 8, 21, 382",198,137,https://shopee.vn/[Mã-ELSAMSEP-giảm-5%-đơn-500K]-Lò-vi-sóng-có-nướng-Samsung-MG23K3575AS/SV-23-lít-i.65589552.2662648731,2021-09-01,2021-09-24,20,0,3250000,2090000,36,0,0,958,0,915,1,2808,645,418,0,418,0,2021-09-25
2955229876,2021-09-24,53452181,"[Mã 229ELSALE hoàn 7% xu đơn 300K] Bộ Phát Wifi Xiaomi - Mi Router 4A - Trắng - Hàng Chính Hãng",75b533511b7722832359413dd0a6167f,VND,1,100013,268435458,0,normal,4,5,17,,,1,0,0,0,57,4.5,2,"2, 0, 0, 0, 1, 1",1,0,https://shopee.vn/[Mã-229ELSALE-hoàn-7%-xu-đơn-300K]-Bộ-Phát-Wifi-Xiaomi---Mi-Router-4A---Trắng---Hàng-Chính-Hãng-i.53452181.2955229876,2021-09-01,2021-09-24,24,0,409000,299000,39,17,0,2,0,19,2,2243,492,2,0,2,0,2021-09-25
2963437093,2021-09-01,53452181,"BƠM CẦM TAY ĐA NĂNG XE HƠI MI PORTABLE ELECTRIC AIR COMPRESSOR - HÀNG CHÍNH HÃNG",a6d339ff12a2b6b7bd776d931121577a,VND,1,100640,268435458,0,normal,11,0,0,,,1,0,0,0,12,0,0,"0, 0, 0, 0, 0, 0",0,0,https://shopee.vn/BƠM-CẦM-TAY-ĐA-NĂNG-XE-HƠI-MI-PORTABLE-ELECTRIC-AIR-COMPRESSOR---HÀNG-CHÍNH-HÃNG-i.53452181.2963437093,2021-08-16,2021-09-01,17,0,1090000,839000,23,0,0,7,0,27,0,1848,0,0,0,0,0,2021-09-25
