shopid,shopname,username,userid,country,description,rating_star,rating_normal,rating_bad,rating_good,shop_location,status,cancellation_rate,item_count,follower_count,response_rate,response_time,preparation_time,following_count,total_avg_star,shopurl,snapshot_date
88201679,"Apple Flagship Store",apple_flagship_store,88203157,VN,,4.889912,191,209,14074,"TP. Hồ Chí Minh",1,0,103,261723,100,3952,353378,1,4.889912,https://shopee.vn/apple_flagship_store,2021-08-16
65589552,"Samsung Official Shop",samsung_official_store,65591005,VN,"Gian Hàng chính thức của SAMSUNG VIỆT NAM tại SHOPEE.
Hotline:
- Sản phẩm di động: 1800-588-855
- Sản phẩm khác: 1800-588-889",4.884568,575,412,35281,"TP. Hồ Chí Minh",1,0,340,143501,100,3044,247722,2,4.884568,https://shopee.vn/samsung_official_store,2021-08-16
53452181,"Xiaomi Authorized Store",xiaomi_authorized_store,53453569,VN,"Xiaomi Official Store chuyên cung cấp các sản phẩm chính hãng Xiaomi với mức giá và dịch vụ tốt nhất. Đến với Xiaomi Official Store bạn sẽ được mua sắm rất nhiều sản phẩm chính hãng Xiaomi như tai nghe, loa bluetooth, điện thoại, sạc, camera.v.v..
- Đảm bảo chính hãng 100%
- Giá cả cạnh tranh
- Giao hàng nhanh chóng
Ngày hội mua sắm Xiaomi diễn ra từ 25/10 đến 11/11 cùng nhiều sản phẩm chính hãng hấp dẫn.",4.833853,784,530,34158,"TP. Hồ Chí Minh",1,0,99,76604,100,2733,305879,17,4.833853,https://shopee.vn/xiaomi_authorized_store,2021-08-16
230954155,"Vinfast Official",vinfast_official,230958825,VN,"Gian hàng chính hãng của VinFast trên sàn Thương mại điện tử Shopee.
Cung cấp các sản phẩm Xe máy điện: Ludo, Impes, Klara S, Feliz, Theon...

Mọi chi tiết xem tại: https://vinfastauto.com/",4.283582,11,16,109,"Hà Nội",1,0,19,3282,47,12312,NULL,6,4.283582,https://shopee.vn/vinfast_official,2021-08-16
53452181,"Xiaomi Authorized Store",xiaomi_authorized_store,53453569,VN,"Xiaomi Official Store chuyên cung cấp các sản phẩm chính hãng Xiaomi với mức giá và dịch vụ tốt nhất. Đến với Xiaomi Official Store bạn sẽ được mua sắm rất nhiều sản phẩm chính hãng Xiaomi như tai nghe, loa bluetooth, điện thoại, sạc, camera.v.v..
- Đảm bảo chính hãng 100%
- Giá cả cạnh tranh
- Giao hàng nhanh chóng
Ngày hội mua sắm Xiaomi diễn ra từ 25/10 đến 11/11 cùng nhiều sản phẩm chính hãng hấp dẫn.",4.833858,784,530,34159,"TP. Hồ Chí Minh",1,0,99,76605,100,2733,305879,17,4.833858,https://shopee.vn/xiaomi_authorized_store,2021-08-16
88201679,"Apple Flagship Store",apple_flagship_store,88203157,VN,,4.889565,194,212,14202,"TP. Hồ Chí Minh",1,0,103,262290,100,3927,344069,1,4.889565,https://shopee.vn/apple_flagship_store,2021-08-17
65589552,"Samsung Official Shop",samsung_official_store,65591005,VN,"Gian Hàng chính thức của SAMSUNG VIỆT NAM tại SHOPEE.
Hotline:
- Sản phẩm di động: 1800-588-855
- Sản phẩm khác: 1800-588-889",4.884638,576,412,35319,"TP. Hồ Chí Minh",1,0,340,143678,100,3072,251446,2,4.884638,https://shopee.vn/samsung_official_store,2021-08-17
53452181,"Xiaomi Authorized Store",xiaomi_authorized_store,53453569,VN,"Xiaomi Official Store chuyên cung cấp các sản phẩm chính hãng Xiaomi với mức giá và dịch vụ tốt nhất. Đến với Xiaomi Official Store bạn sẽ được mua sắm rất nhiều sản phẩm chính hãng Xiaomi như tai nghe, loa bluetooth, điện thoại, sạc, camera.v.v..
- Đảm bảo chính hãng 100%
- Giá cả cạnh tranh
- Giao hàng nhanh chóng
Ngày hội mua sắm Xiaomi diễn ra từ 25/10 đến 11/11 cùng nhiều sản phẩm chính hãng hấp dẫn.",4.83393,784,530,34182,"TP. Hồ Chí Minh",1,0,99,76720,100,2711,311472,17,4.83393,https://shopee.vn/xiaomi_authorized_store,2021-08-17
230954155,"Vinfast Official",vinfast_official,230958825,VN,"Gian hàng chính hãng của VinFast trên sàn Thương mại điện tử Shopee.
Cung cấp các sản phẩm Xe máy điện: Ludo, Impes, Klara S, Feliz, Theon...

Mọi chi tiết xem tại: https://vinfastauto.com/",4.283582,11,16,109,"Hà Nội",1,0,19,3282,47,12312,NULL,6,4.283582,https://shopee.vn/vinfast_official,2021-08-17
53452181,"Xiaomi Authorized Store",xiaomi_authorized_store,53453569,VN,"Xiaomi Official Store chuyên cung cấp các sản phẩm chính hãng Xiaomi với mức giá và dịch vụ tốt nhất. Đến với Xiaomi Official Store bạn sẽ được mua sắm rất nhiều sản phẩm chính hãng Xiaomi như tai nghe, loa bluetooth, điện thoại, sạc, camera.v.v..
- Đảm bảo chính hãng 100%
- Giá cả cạnh tranh
- Giao hàng nhanh chóng
Ngày hội mua sắm Xiaomi diễn ra từ 25/10 đến 11/11 cùng nhiều sản phẩm chính hãng hấp dẫn.",4.83393,784,530,34182,"TP. Hồ Chí Minh",1,0,99,76721,100,2711,311472,17,4.83393,https://shopee.vn/xiaomi_authorized_store,2021-08-17
