row_id,product_id,statistic_date,snapshot_date,shop_id,product_name,product_image,currency,status,product_category_id,product_flag,product_cb_option,product_status,product_price,product_price_before_discount,show_discount,product_discount,tier_variations,tier_variations_type,tier_variations_count,product_type,is_on_flash_sale,shopee_verified,product_stock,stock_changed,historical_sold,new_items_sold,liked_count,new_like_count,view_count,new_view_count,comment_count,new_comment_count,product_avg_rating,total_rating_count,rating_count_details,new_rating_count,rating_count_with_context,rating_count_with_image,product_url,last_updated_date
1901,1622955655,2021-08-15,2021-08-16,65589552,"[Mã ELSSCP300 giảm 5% đơn 500K] Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,1190000.0000,1990000.0000,40,40,,,1,0,0,0,183,0,3854,0,6043,0,32105,0,1489,0,4.9,1489,"1489, 11, 5, 11, 73, 1389",0,705,478,https://shopee.vn/[Mã-ELSSCP300-giảm-5%-đơn-500K]-Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
28518,1622955655,2021-08-16,2021-08-17,65589552,"Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,1190000.0000,1990000.0000,40,40,,,1,0,0,0,185,2,3854,0,6035,-8,32243,138,1489,0,4.9,1489,"1489, 11, 5, 11, 73, 1389",0,705,478,https://shopee.vn/Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
54957,1622955655,2021-08-17,2021-08-18,65589552,"Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,1190000.0000,1990000.0000,40,40,,,1,0,0,0,186,1,3857,3,6025,-10,28980,3263,1490,1,4.9,1490,"1490, 11, 5, 11, 73, 1390",1,705,478,https://shopee.vn/Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
81346,1622955655,2021-08-18,2021-08-19,65589552,"[Nhập ELSAMAUG giảm 5%] Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,999000.0000,1990000.0000,50,50,,,1,0,0,0,113,-73,3859,2,6019,-6,29530,550,1491,1,4.9,1491,"1491, 11, 5, 11, 73, 1391",1,706,478,https://shopee.vn/[Nhập-ELSAMAUG-giảm-5%]-Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
107980,1622955655,2021-08-19,2021-08-20,65589552,"[Mã ELSSCP300 giảm 5% đơn 500K] Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,999000.0000,1990000.0000,50,50,,,1,0,0,0,92,-21,3859,0,6044,25,31752,2222,1492,1,4.9,1492,"1492, 11, 5, 11, 73, 1392",1,706,478,https://shopee.vn/[Mã-ELSSCP300-giảm-5%-đơn-500K]-Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
133116,1622955655,2021-08-20,2021-08-21,65589552,"[Mã ELSSCP300 giảm 5% đơn 500K] Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,1190000.0000,1990000.0000,40,40,,,1,0,0,0,113,21,3860,1,6048,4,32792,1040,1492,0,4.9,1492,"1492, 11, 5, 11, 73, 1392",0,706,478,https://shopee.vn/[Mã-ELSSCP300-giảm-5%-đơn-500K]-Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
157974,1622955655,2021-08-21,2021-08-22,65589552,"[Mã ELSSCP300 giảm 5% đơn 500K] Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,1190000.0000,1990000.0000,40,40,,,1,0,0,0,120,7,3860,0,6036,-12,32991,199,1492,0,4.9,1492,"1492, 11, 5, 11, 73, 1392",0,706,478,https://shopee.vn/[Mã-ELSSCP300-giảm-5%-đơn-500K]-Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
182914,1622955655,2021-08-22,2021-08-23,65589552,"[Mã ELSSCP300 giảm 5% đơn 500K] Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,1190000.0000,1990000.0000,40,40,,,1,0,0,0,118,-2,3860,0,6037,1,33168,177,1492,0,4.9,1492,"1492, 11, 5, 11, 73, 1392",0,706,478,https://shopee.vn/[Mã-ELSSCP300-giảm-5%-đơn-500K]-Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
208282,1622955655,2021-08-23,2021-08-24,65589552,"Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,1190000.0000,1990000.0000,40,40,,,1,0,0,0,115,-3,3861,1,6033,-4,33479,311,1493,1,4.9,1493,"1493, 11, 5, 11, 73, 1393",1,706,478,https://shopee.vn/Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
233415,1622955655,2021-08-24,2021-08-25,65589552,"Máy hút bụi Samsung VC18M2120SB/SV (Xanh)",865833ee75cb765b01f58dd06077f58b,VND,1,100010,268435458,0,normal,1190000.0000,1990000.0000,40,40,,,1,0,0,0,113,-2,3864,3,6033,0,33404,75,1495,2,4.9,1495,"1495, 11, 5, 11, 73, 1395",2,708,479,https://shopee.vn/Máy-hút-bụi-Samsung-VC18M2120SB/SV-(Xanh)-i.65589552.1622955655,2021-09-25
