itemid,shopid,productname,image,currency,stock,status,sold,historical_sold,liked_count,view_count,catid,cmt_count,flag,cb_option,item_status,price,price_before_discount,show_discount,raw_discount,discount,tier_variations,tier_variations_type,tier_variations_count,rating_avg,rating_total,rating_count,rating_count_with_context,rating_count_with_image,item_type,is_on_flash_sale,show_free_shipping,shopee_verified,product_url,snapshot_date,row_id
6543991657,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple AirPods with Charging Case 2nd gen",a256a89d3b7b4b80224e768d9ff6fdff,VND,1200,1,170,10270,25376,300411,100013,4060,268959746,0,normal,320000000000,439000000000,27,27,27%,,,1,4.9119170984455955,4060,"4060, 40, 15, 33, 111, 3861",2174,1900,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-AirPods-with-Charging-Case-2nd-gen-i.88201679.6543991657,2021-08-16,287
7743986580,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple AirPods Pro",5b0ee8b80d604dd93e2b77278b770928,VND,708,1,150,8889,5855,174705,100013,3317,268959746,0,normal,490000000000,739000000000,34,34,34%,,,1,4.86483217417599,3318,"3318, 59, 23, 37, 107, 3092",1625,1325,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-AirPods-Pro-i.88201679.7743986580,2021-08-16,288
6360756336,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple iPhone 12 Pro Max 128GB",2dd923298ba0685a2288af4ae443c51c,VND,115,1,115,2452,5173,450749,100013,918,268959746,0,normal,2829000000000,3399000000000,17,17,17%,"Silver, Graphite, Gold, Pacific Blue",Color,4,4.887665198237886,918,"918, 11, 3, 13, 27, 864",472,400,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-iPhone-12-Pro-Max-128GB-i.88201679.6360756336,2021-08-16,289
5600084939,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple iPhone 11 64GB",b107f2e6167adb250100ec4c8d028a57,VND,767,1,102,1731,3780,166483,100013,637,268959746,0,normal,2199000000000,0,0,0,NULL,"Black, White, Red, Yellow, Purple, Green","Màu sắc",6,4.899053627760252,637,"637, 6, 4, 5, 21, 601",327,269,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-iPhone-11-64GB-i.88201679.5600084939,2021-08-16,290
9919008756,88201679,"[Mã 158ELSALE hoàn 7% xu đơn 300K] Apple 20W USB-C Power Adapter",b4d8f2c5ec5de05b98a68ba1fdc17d4c,VND,38,1,149,2889,1082,55028,100013,1238,268435458,0,normal,59000000000,99000000000,40,40,40%,,,1,4.938461538461539,1238,"1238, 10, 2, 5, 28, 1193",646,588,0,0,1,0,https://shopee.vn/[Mã-158ELSALE-hoàn-7%-xu-đơn-300K]-Apple-20W-USB-C-Power-Adapter-i.88201679.9919008756,2021-08-16,291
5660743161,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple iPhone 12 Pro 128GB",ee36c328b153eb692a2b10b330602dbd,VND,32,1,12,1074,2177,95133,100013,411,268959746,0,normal,2619000000000,3099000000000,15,15,15%,"Silver, Graphite, Gold, Pacific Blue",Color,4,4.860294117647059,411,"411, 13, 1, 1, 11, 385",210,168,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-iPhone-12-Pro-128GB-i.88201679.5660743161,2021-08-16,292
5873954476,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple MacBook Air (2020) M1 Chip, 13.3-inch, 8GB, 256GB SSD",575e04c0e1d08b5f1b9f624a8d6b1419,VND,17,1,66,591,1934,86352,100644,216,268959746,0,normal,2539000000000,2899000000000,12,12,12%,"Gold, Silver, Space Gray",Color,3,4.869767441860465,216,"216, 6, 0, 1, 6, 203",122,110,0,0,1,0,"https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-MacBook-Air-(2020)-M1-Chip,-13.3-inch,-8GB,-256GB-SSD-i.88201679.5873954476",2021-08-16,293
8407857496,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple MacBook Pro (2020) M1 Chip, 13 inch, 8GB, 256GB SSD",42c51761d53b623a5bc6fcf8772d9e94,VND,181,1,116,569,1375,83798,100644,202,268959746,0,normal,3149000000000,3699000000000,15,15,15%,"Silver, Space Gray",Color,2,4.865,202,"202, 6, 1, 1, 5, 189",110,87,0,0,1,0,"https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-MacBook-Pro-(2020)-M1-Chip,-13-inch,-8GB,-256GB-SSD-i.88201679.8407857496",2021-08-16,294
5373960213,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple Mac Mini (2020) M1 Chip, 8GB, 256GB SSD",6537e93a0952ec3f602966180ba0bde9,VND,5,1,10,46,349,37272,100644,16,268959746,0,normal,1690000000000,1999000000000,15,15,15%,,,1,4.75,16,"16, 1, 0, 0, 0, 15",11,8,0,0,1,0,"https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-Mac-Mini-(2020)-M1-Chip,-8GB,-256GB-SSD-i.88201679.5373960213",2021-08-16,295
4460739364,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple iPhone 12 128GB",c571780f3a85716c7aa3ec70360b1807,VND,2,1,79,651,1581,114722,100013,255,268959746,0,normal,2699000000000,0,0,0,NULL,"Black, White, Product Red, Green, Blue, Purple",Color,6,4.905882352941177,255,"255, 3, 1, 0, 9, 242",137,112,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-iPhone-12-128GB-i.88201679.4460739364,2021-08-16,296
7957497677,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple Watch SE 40mm GPS Sport Band",4e19c33584684be04e886b9652fc2b89,VND,33,1,10,331,706,52417,100013,156,268959746,0,normal,700000000000,899000000000,22,22,22%,"Sliver Aluminum , Space Gray Aluminum",Color,2,4.967948717948718,156,"156, 0, 0, 2, 1, 153",90,80,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-Watch-SE-40mm-GPS-Sport-Band-i.88201679.7957497677,2021-08-16,297
4660739098,88201679,"Apple iPhone 12 64GB",c571780f3a85716c7aa3ec70360b1807,VND,1,1,0,849,1500,10250,100013,325,268959746,0,normal,2039000000000,0,0,0,NULL,"Black, White, Product Red, Green, Blue, Purple",Color,6,4.928125,324,"324, 5, 2, 3, 5, 309",168,131,0,0,1,0,https://shopee.vn/Apple-iPhone-12-64GB-i.88201679.4660739098,2021-08-16,298
3167174994,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple Watch SE 44mm GPS Sport Band",2b9e53607bf8351e49e0f9718cfe0e91,VND,30,1,7,352,1171,34150,100013,173,268959746,0,normal,709000000000,999000000000,29,29,29%,"Sliver Aluminum, Space Gray Aluminum, Gold Aluminum",Color,3,4.913294797687861,173,"173, 2, 1, 1, 2, 167",96,84,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-Watch-SE-44mm-GPS-Sport-Band-i.88201679.3167174994,2021-08-16,299
5157517143,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple Watch Series 6 44mm GPS Sport Band",f8ec3b6cd40e8f637116dd6b2c83aed4,VND,131,1,11,341,820,46675,100013,146,268959746,0,normal,989000000000,1399000000000,29,29,29%,"Sliver Aluminum, Space Gray Aluminum, Blue Aluminum, Gold Aluminum ",Color,4,4.8561643835616435,146,"146, 3, 0, 2, 5, 136",68,61,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-Watch-Series-6-44mm-GPS-Sport-Band-i.88201679.5157517143,2021-08-16,300
3400182282,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple iPhone 11 128GB",e891e6f900bf8b1760a343231e31f726,VND,5,1,169,705,2004,51502,100013,256,268959746,0,normal,2299000000000,0,0,0,NULL,"Yellow, Purple, Green, Black, Red, White","Màu sắc",6,4.827450980392157,256,"256, 6, 2, 5, 7, 236",121,95,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-iPhone-11-128GB-i.88201679.3400182282,2021-08-16,301
3355877166,88201679,"[Mã ELMALL300K giảm 5% đơn 500K] Apple Magic Mouse 2 Multi-Touch",65839ad53060d658482f23c57197ebe2,VND,11,1,27,189,378,18584,100644,86,268435458,0,normal,178000000000,299000000000,40,40,40%,"Silver, Space Grey","Màu sắc",2,4.9186046511627906,86,"86, 0, 0, 1, 5, 80",51,46,0,0,1,0,https://shopee.vn/[Mã-ELMALL300K-giảm-5%-đơn-500K]-Apple-Magic-Mouse-2-Multi-Touch-i.88201679.3355877166,2021-08-16,302
6446665760,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple Watch Series 3 38mm GPS Sport Band",982a277b97e49732507d9d68341267c6,VND,2,1,11,144,945,39143,100013,54,268959746,0,normal,475000000000,759000000000,37,37,37%,"White, Black","Màu Sắc",2,4.981481481481482,54,"54, 0, 0, 0, 1, 53",34,31,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-Watch-Series-3-38mm-GPS-Sport-Band-i.88201679.6446665760,2021-08-16,303
6257515197,88201679,"[Mã ELMALL1TR giảm 5% đơn 3TR] Apple Watch Series 6 40mm GPS Sport Band",bbc515c097847a607b9c7918f72fb2fa,VND,71,1,7,224,581,28316,100013,78,268959746,0,normal,950000000000,1299000000000,27,27,27%,"Sliver Aluminum, Space Gray Aluminum , Blue Aluminum ",Color,3,4.833333333333333,78,"78, 2, 1, 1, 0, 74",39,32,0,0,1,0,https://shopee.vn/[Mã-ELMALL1TR-giảm-5%-đơn-3TR]-Apple-Watch-Series-6-40mm-GPS-Sport-Band-i.88201679.6257515197,2021-08-16,304
